doc_id,url,cache,text version,nature,published,entity,entity_type
2196/bcd4b_Registre-des-DELIBERATIONS-2022-MAJ-au-14dec2022.pdf,https://www.sud-retz-atlantique.fr/wp-content/uploads/2023/01/Registre-des-DELIBERATIONS-2022-MAJ-au-14dec2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2196/bcd4b_Registre-des-DELIBERATIONS-2022-MAJ-au-14dec2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2196/bcd4b_Registre-des-DELIBERATIONS-2022-MAJ-au-14dec2022.pdf.txt,pv.cr,14/12/2022,CC Sud Retz Atlantique,Intercommunalité
3153/e4f2bc246378fa5b1606c1d0d8823ca28bfe9940_GUIDE_LOGEMENT_A,https://www.adil01.org/wp-content/uploads/2023/12/GUIDE_LOGEMENT_AIN_2023_WEB-1.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3153/e4f2bc246378fa5b1606c1d0d8823ca28bfe9940_GUIDE_LOGEMENT_A,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3153/e4f2bc246378fa5b1606c1d0d8823ca28bfe9940_GUIDE_LOGEMENT_A.txt,acte.arrete,01/12/2023,Ain,Conseil départemental
4850/bf9a7_4.1.9.Zone-USU.pdf,https://www.neuillysurmarne.fr/wp-content/uploads/2023/02/4.1.9.Zone-USU.pdf?x12167,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/4850/bf9a7_4.1.9.Zone-USU.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/4850/bf9a7_4.1.9.Zone-USU.pdf.txt,dlao.autres,13/12/2022,Neuilly-sur-Marne,Commune
4850/a105d_4.1.6.Zone-UE.pdf,https://www.neuillysurmarne.fr/wp-content/uploads/2023/02/4.1.6.Zone-UE.pdf?x12167,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/4850/a105d_4.1.6.Zone-UE.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/4850/a105d_4.1.6.Zone-UE.pdf.txt,dlao.autres,13/12/2022,Neuilly-sur-Marne,Commune
4850/73071_4.1.3.Zone-UA.pdf,https://www.neuillysurmarne.fr/wp-content/uploads/2023/02/4.1.3.Zone-UA.pdf?x12167,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/4850/73071_4.1.3.Zone-UA.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/4850/73071_4.1.3.Zone-UA.pdf.txt,dlao.autres,13/12/2022,Neuilly-sur-Marne,Commune
4850/a6b32_4.1.4.Zone-UC.pdf,https://www.neuillysurmarne.fr/wp-content/uploads/2023/02/4.1.4.Zone-UC.pdf?x12167,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/4850/a6b32_4.1.4.Zone-UC.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/4850/a6b32_4.1.4.Zone-UC.pdf.txt,dlao.autres,13/12/2022,Neuilly-sur-Marne,Commune
4850/b25e2_4.1.8.Zone-UR.pdf,https://www.neuillysurmarne.fr/wp-content/uploads/2023/02/4.1.8.Zone-UR.pdf?x12167,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/4850/b25e2_4.1.8.Zone-UR.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/4850/b25e2_4.1.8.Zone-UR.pdf.txt,dlao.autres,13/12/2022,Neuilly-sur-Marne,Commune
4850/8eda6_4.1.5.Zone-UD.pdf,https://www.neuillysurmarne.fr/wp-content/uploads/2023/02/4.1.5.Zone-UD.pdf?x12167,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/4850/8eda6_4.1.5.Zone-UD.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/4850/8eda6_4.1.5.Zone-UD.pdf.txt,dlao.autres,13/12/2022,Neuilly-sur-Marne,Commune
4850/dda28_4.1.NEUILLY_SUR_MARNE_93050_reglement_20221213.pdf,https://www.neuillysurmarne.fr/wp-content/uploads/2023/02/4.1.NEUILLY_SUR_MARNE_93050_reglement_20221213.pdf?x12167,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/4850/dda28_4.1.NEUILLY_SUR_MARNE_93050_reglement_20221213.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/4850/dda28_4.1.NEUILLY_SUR_MARNE_93050_reglement_20221213.pdf.txt,dlao.autres,13/12/2022,Neuilly-sur-Marne,Commune
4850/13e1a_4.1.7.Zone-UI.pdf,https://www.neuillysurmarne.fr/wp-content/uploads/2023/02/4.1.7.Zone-UI.pdf?x12167,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/4850/13e1a_4.1.7.Zone-UI.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/4850/13e1a_4.1.7.Zone-UI.pdf.txt,dlao.autres,13/12/2022,Neuilly-sur-Marne,Commune
751/c8067_Plan-déconomies-énergie-et-eau-délibération-du-conseil-municipal-du-7-décembre-2022.pdf,https://www.sainte-luce-loire.com/medias/2022/12/Plan-déconomies-énergie-et-eau-délibération-du-conseil-municipal-du-7-décembre-2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/751/c8067_Plan-déconomies-énergie-et-eau-délibération-du-conseil-municipal-du-7-décembre-2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/751/c8067_Plan-déconomies-énergie-et-eau-délibération-du-conseil-municipal-du-7-décembre-2022.pdf.txt,acte.delib,09/12/2022,Sainte-Luce-sur-Loire,Commune
1565/2d2a7_deliberations-et-annexes-conseil-municipal-31.01.23.pdf,https://www.pessac.fr/fileadmin/medias/Publications/conseils-municipaux-2023/deliberations-et-annexes-conseil-municipal-31.01.23.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1565/2d2a7_deliberations-et-annexes-conseil-municipal-31.01.23.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1565/2d2a7_deliberations-et-annexes-conseil-municipal-31.01.23.pdf.txt,acte.delib,31/01/2023,Pessac,Commune
1565/1761c_proces-verbal-conseil-municipal-31-janvier-2023.pdf,https://www.pessac.fr/fileadmin/medias/Publications/conseils-municipaux-2023/proces-verbal-conseil-municipal-31-janvier-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1565/1761c_proces-verbal-conseil-municipal-31-janvier-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1565/1761c_proces-verbal-conseil-municipal-31-janvier-2023.pdf.txt,pv.full,31/01/2023,Pessac,Commune
3218/93141_819-20fev-cd.pdf,https://www.valdemarne.fr/sites/default/files/819-20fev-cd.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3218/93141_819-20fev-cd.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3218/93141_819-20fev-cd.pdf.txt,pv.cr,20/02/2020,Val-de-Marne,Conseil départemental
635/c7b0d_3-1-reglement-plu-modifie-en-2020.pdf,http://www.creutzwald.fr/UserFiles/File/plu/3-1-reglement-plu-modifie-en-2020.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/635/c7b0d_3-1-reglement-plu-modifie-en-2020.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/635/c7b0d_3-1-reglement-plu-modifie-en-2020.pdf.txt,dlao.autres,24/02/2020,Creutzwald,Commune
1700/f8f99_compte-rendu-cm-24-janvier-2020.pdf,https://www.etueffont.fr/ged/compte-rendu-cm-24-janvier-2020.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1700/f8f99_compte-rendu-cm-24-janvier-2020.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1700/f8f99_compte-rendu-cm-24-janvier-2020.pdf.txt,pv.cr,24/01/2020,Étueffont,Commune
1700/ff1c9_compte-rendu-cm-24-janvier-2020.pdf,http://www.etueffont.fr/ged/compte-rendu-cm-24-janvier-2020.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1700/ff1c9_compte-rendu-cm-24-janvier-2020.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1700/ff1c9_compte-rendu-cm-24-janvier-2020.pdf.txt,pv.cr,24/01/2020,Étueffont,Commune
2983/b9b41_janvier_2020.pdf,https://www.coeurdebrenne.fr/fileadmin/pdf/deliberations/2020/janvier_2020.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2983/b9b41_janvier_2020.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2983/b9b41_janvier_2020.pdf.txt,pv.cr,20/01/2020,CC Coeur de Brenne,Intercommunalité
